OBJECTID;TOPE_CHORROS_WGS84_tif;X;Y;TOPE_CHORROS_WGS84_Band_1
302;-2042;-73,759245097951307;7,772919822779203;-2042,7819824
303;-2120;-73,749540881678215;7,772919822779203;-2120,1418457
304;-2180;-73,739836665405122;7,772919822779203;-2180,0214844
305;-2217;-73,730132449132029;7,772919822779203;-2217,5285645
306;-2251;-73,720428232858936;7,772919822779203;-2251,3881836
307;-2270;-73,710724016585843;7,772919822779203;-2270,8835449
308;-2273;-73,701019800312750;7,772919822779203;-2273,5798340
309;-2298;-73,691315584039657;7,772919822779203;-2298,7910156
310;-2372;-73,681611367766564;7,772919822779203;-2372,6850586
311;-2435;-73,671907151493471;7,772919822779203;-2435,9023438
312;-2416;-73,662202935220378;7,772919822779203;-2416,0556641
313;-2462;-73,652498718947285;7,772919822779203;-2462,7734375
314;-2513;-73,642794502674192;7,772919822779203;-2513,0761719
315;-2518;-73,633090286401099;7,772919822779203;-2518,6896973
316;-2520;-73,623386070128007;7,772919822779203;-2520,5532227
317;-1270;-73,885399909501530;7,763215606506110;-1270,6982422
318;-1310;-73,875695693228437;7,763215606506110;-1310,6489258
319;-1345;-73,865991476955344;7,763215606506110;-1345,4139404
320;-1371;-73,856287260682251;7,763215606506110;-1371,7435303
321;-1444;-73,846583044409158;7,763215606506110;-1444,4022217
322;-1489;-73,836878828136065;7,763215606506110;-1489,3715820
323;-1520;-73,827174611862972;7,763215606506110;-1520,0626221
324;-1570;-73,817470395589879;7,763215606506110;-1570,8496094
325;-1644;-73,807766179316786;7,763215606506110;-1644,3361816
326;-1718;-73,798061963043693;7,763215606506110;-1718,6971436
327;-1797;-73,788357746770600;7,763215606506110;-1797,1118164
328;-1863;-73,778653530497493;7,763215606506110;-1863,7365723
329;-1950;-73,768949314224400;7,763215606506110;-1950,5539551
330;-2034;-73,759245097951307;7,763215606506110;-2034,8643799
331;-2112;-73,749540881678215;7,763215606506110;-2112,9306641
332;-2169;-73,739836665405122;7,763215606506110;-2169,8981934
333;-2213;-73,730132449132029;7,763215606506110;-2213,8872070
334;-2266;-73,720428232858936;7,763215606506110;-2266,2683105
335;-2309;-73,710724016585843;7,763215606506110;-2309,7836914
336;-2313;-73,701019800312750;7,763215606506110;-2313,0656738
337;-2321;-73,691315584039657;7,763215606506110;-2321,2824707
338;-2348;-73,681611367766564;7,763215606506110;-2348,1496582
339;-2388;-73,671907151493471;7,763215606506110;-2388,4790039
340;-2400;-73,662202935220378;7,763215606506110;-2400,8144531
341;-2404;-73,652498718947285;7,763215606506110;-2404,1420898
342;-2468;-73,642794502674192;7,763215606506110;-2468,2214355
343;-2494;-73,633090286401099;7,763215606506110;-2494,6826172
344;-2511;-73,623386070128007;7,763215606506110;-2511,9970703
345;-2510;-73,613681853854914;7,763215606506110;-2510,9829102
346;-2509;-73,603977637581821;7,763215606506110;-2509,2253418
347;-2513;-73,594273421308728;7,763215606506110;-2513,1958008
348;-2557;-73,584569205035635;7,763215606506110;-2557,3256836
349;-1357;-73,865991476955344;7,753511390233017;-1357,6478271
350;-1395;-73,856287260682251;7,753511390233017;-1395,9483643
