OBJECTID;TOPE_MUGROSA_WGS84_tif;X;Y;TOPE_MUGROSA_WGS84_Band_1
327;-2447;-73,585656430351392;7,860301000158745;-2447,3437500
328;-269;-73,943863501193491;7,850619727973823;-269,0637817
329;-319;-73,934182229008570;7,850619727973823;-319,6281738
330;-372;-73,924500956823650;7,850619727973823;-372,5755005
331;-427;-73,914819684638729;7,850619727973823;-427,1837769
332;-482;-73,905138412453809;7,850619727973823;-482,6416016
333;-538;-73,895457140268874;7,850619727973823;-538,0665894
334;-592;-73,885775868083954;7,850619727973823;-592,7501221
335;-646;-73,876094595899033;7,850619727973823;-646,5549316
336;-699;-73,866413323714113;7,850619727973823;-699,9265747
337;-753;-73,856732051529193;7,850619727973823;-753,6622314
338;-808;-73,847050779344272;7,850619727973823;-808,8459473
339;-866;-73,837369507159352;7,850619727973823;-866,6700439
340;-927;-73,827688234974431;7,850619727973823;-927,5842285
341;-991;-73,818006962789511;7,850619727973823;-991,3615723
342;-1057;-73,808325690604590;7,850619727973823;-1057,3306885
343;-1124;-73,798644418419670;7,850619727973823;-1124,8613281
344;-1195;-73,788963146234735;7,850619727973823;-1195,3269043
345;-1280;-73,779281874049815;7,850619727973823;-1280,7312012
346;-1367;-73,769600601864894;7,850619727973823;-1367,2869873
347;-1451;-73,759919329679974;7,850619727973823;-1451,9069824
348;-1532;-73,750238057495054;7,850619727973823;-1532,9283447
349;-1608;-73,740556785310133;7,850619727973823;-1608,6767578
350;-1678;-73,730875513125213;7,850619727973823;-1678,3134766
351;-1743;-73,721194240940292;7,850619727973823;-1743,9089355
352;-1812;-73,711512968755372;7,850619727973823;-1812,4371338
353;-1893;-73,701831696570451;7,850619727973823;-1893,6654053
354;-1989;-73,692150424385531;7,850619727973823;-1989,8562012
355;-2086;-73,682469152200611;7,850619727973823;-2086,0053711
356;-2149;-73,672787880015676;7,850619727973823;-2149,1047363
357;-2201;-73,663106607830755;7,850619727973823;-2201,0764160
358;-2247;-73,653425335645835;7,850619727973823;-2247,4560547
359;-2291;-73,643744063460915;7,850619727973823;-2291,6625977
360;-2331;-73,634062791275994;7,850619727973823;-2331,8361816
361;-2374;-73,624381519091074;7,850619727973823;-2374,1667480
362;-2408;-73,614700246906153;7,850619727973823;-2408,3398438
363;-2428;-73,605018974721233;7,850619727973823;-2428,7949219
364;-2440;-73,595337702536312;7,850619727973823;-2440,0026855
365;-2449;-73,585656430351392;7,850619727973823;-2449,4931641
366;-2460;-73,575975158166472;7,850619727973823;-2460,3032227
367;-288;-73,943863501193491;7,840938455788901;-288,5801392
368;-344;-73,934182229008570;7,840938455788901;-344,1634521
369;-401;-73,924500956823650;7,840938455788901;-401,6814880
370;-460;-73,914819684638729;7,840938455788901;-460,1640625
371;-518;-73,905138412453809;7,840938455788901;-518,5570679
372;-575;-73,895457140268874;7,840938455788901;-575,7588501
373;-630;-73,885775868083954;7,840938455788901;-630,9906616
374;-684;-73,876094595899033;7,840938455788901;-684,2856445
375;-736;-73,866413323714113;7,840938455788901;-736,4311523
376;-790;-73,856732051529193;7,840938455788901;-790,6419678
377;-845;-73,847050779344272;7,840938455788901;-845,8323975
378;-903;-73,837369507159352;7,840938455788901;-903,4387817
379;-964;-73,827688234974431;7,840938455788901;-964,3190918
380;-1028;-73,818006962789511;7,840938455788901;-1028,7792969
381;-1096;-73,808325690604590;7,840938455788901;-1096,7951660
382;-1168;-73,798644418419670;7,840938455788901;-1168,3170166
383;-1243;-73,788963146234735;7,840938455788901;-1243,7421875
384;-1323;-73,779281874049815;7,840938455788901;-1323,5308838
385;-1405;-73,769600601864894;7,840938455788901;-1405,4405518
386;-1487;-73,759919329679974;7,840938455788901;-1487,4014893
387;-1567;-73,750238057495054;7,840938455788901;-1567,0516357
388;-1641;-73,740556785310133;7,840938455788901;-1641,6745605
389;-1709;-73,730875513125213;7,840938455788901;-1709,3676758
390;-1772;-73,721194240940292;7,840938455788901;-1772,0583496
391;-1839;-73,711512968755372;7,840938455788901;-1839,8164062
392;-1930;-73,701831696570451;7,840938455788901;-1930,2172852
393;-2045;-73,692150424385531;7,840938455788901;-2045,7751465
394;-2130;-73,682469152200611;7,840938455788901;-2130,9179688
395;-2187;-73,672787880015676;7,840938455788901;-2187,3510742
396;-2230;-73,663106607830755;7,840938455788901;-2230,8710938
397;-2271;-73,653425335645835;7,840938455788901;-2271,6943359
398;-2315;-73,643744063460915;7,840938455788901;-2315,7839355
399;-2349;-73,634062791275994;7,840938455788901;-2349,8698730
400;-2384;-73,624381519091074;7,840938455788901;-2384,1901855
401;-2410;-73,614700246906153;7,840938455788901;-2410,7819824
402;-2423;-73,605018974721233;7,840938455788901;-2423,9172363
403;-2432;-73,595337702536312;7,840938455788901;-2432,9072266
404;-2443;-73,585656430351392;7,840938455788901;-2443,5468750
405;-307;-73,943863501193491;7,831257183603980;-307,6107788
406;-368;-73,934182229008570;7,831257183603980;-368,7686157
407;-431;-73,924500956823650;7,831257183603980;-431,5484619
408;-494;-73,914819684638729;7,831257183603980;-494,6375122
409;-556;-73,905138412453809;7,831257183603980;-556,5950928
410;-615;-73,895457140268874;7,831257183603980;-615,9615479
411;-671;-73,885775868083954;7,831257183603980;-671,9669800
412;-725;-73,876094595899033;7,831257183603980;-725,5229492
413;-779;-73,866413323714113;7,831257183603980;-779,3621826
414;-830;-73,856732051529193;7,831257183603980;-830,6677856
415;-884;-73,847050779344272;7,831257183603980;-884,2825928
416;-940;-73,837369507159352;7,831257183603980;-940,8464966
417;-1001;-73,827688234974431;7,831257183603980;-1001,3096924
418;-1066;-73,818006962789511;7,831257183603980;-1066,5761719
419;-1137;-73,808325690604590;7,831257183603980;-1137,2630615
420;-1213;-73,798644418419670;7,831257183603980;-1213,5634766
421;-1294;-73,788963146234735;7,831257183603980;-1294,0120850
422;-1369;-73,779281874049815;7,831257183603980;-1369,9628906
423;-1448;-73,769600601864894;7,831257183603980;-1448,1136475
424;-1528;-73,759919329679974;7,831257183603980;-1528,3334961
425;-1608;-73,750238057495054;7,831257183603980;-1608,1090088
426;-1683;-73,740556785310133;7,831257183603980;-1683,9455566
427;-1752;-73,730875513125213;7,831257183603980;-1752,6068115
428;-1814;-73,721194240940292;7,831257183603980;-1814,5955811
429;-1883;-73,711512968755372;7,831257183603980;-1883,3316650
430;-1990;-73,701831696570451;7,831257183603980;-1990,9255371
431;-2096;-73,692150424385531;7,831257183603980;-2096,4663086
432;-2171;-73,682469152200611;7,831257183603980;-2171,8520508
433;-2218;-73,672787880015676;7,831257183603980;-2218,8085938
434;-2251;-73,663106607830755;7,831257183603980;-2251,3100586
435;-2280;-73,653425335645835;7,831257183603980;-2280,9785156
436;-2315;-73,643744063460915;7,831257183603980;-2315,5871582
437;-2353;-73,634062791275994;7,831257183603980;-2353,7426758
438;-2388;-73,624381519091074;7,831257183603980;-2388,6752930
439;-2412;-73,614700246906153;7,831257183603980;-2412,1235352
440;-2414;-73,605018974721233;7,831257183603980;-2414,2109375
441;-2418;-73,595337702536312;7,831257183603980;-2418,8195801
442;-2430;-73,585656430351392;7,831257183603980;-2430,8117676
443;-261;-73,953544773378411;7,821575911419058;-261,2381592
444;-325;-73,943863501193491;7,821575911419058;-325,7661133
445;-393;-73,934182229008570;7,821575911419058;-393,7014771
446;-463;-73,924500956823650;7,821575911419058;-463,2477417
447;-532;-73,914819684638729;7,821575911419058;-532,5264282
448;-599;-73,905138412453809;7,821575911419058;-599,3621826
449;-661;-73,895457140268874;7,821575911419058;-661,4176025
450;-717;-73,885775868083954;7,821575911419058;-717,2038574
451;-767;-73,876094595899033;7,821575911419058;-767,0221558
